"send","The rising motion of water as a wave passes; a surge; the upward angular displacement of a vessel, opposed to pitch, the correlative downward movement.","No example available.",4
"nice","Niceness.","No example available.",1
"flash","A device that produces a short flash of light to help illuminate a scene, mostly for night-time or indoors photography.","No example available.",1
"undetectable","Unable to be detected; not detectable.","No example available.",3
"sigh","A deep, prolonged audible inhale and exhale of breath; as when fatigued, frustrated, grieved, or relieved; the act of sighing.","No example available.",1
"green","Having green as its color.","No example available.",1
"auto","An automobile.","No example available.",1
"language","A body of words, and set of methods of combining them (called a grammar), understood by a community and used as a form of communication.","No example available.",1
"pricy","Expensive, dear.","No example available.",1
"love","Strong affection.","No example available.",5
"fall","The act of moving to a lower position under the effect of gravity.","No example available.",1
"ten","A set or group with ten elements.","No example available.",1
"sequence","A set of things next to each other in a set order; a series","No example available.",4
